         73065575 function calls (72108445 primitive calls) in 193.787 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1708    0.002    0.000    0.170    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/proj3d.py:210(proj_transform)
        1    0.005    0.005    0.166    0.166 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/art3d.py:352(<listcomp>)
2386/1651    0.005    0.000    0.164    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/base.py:526(get_function)
    33904    0.008    0.000    0.161    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ir.py:598(list_vars)
    52018    0.019    0.000    0.159    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/values.py:557(_set_name)
     2474    0.004    0.000    0.151    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/npydecl.py:201(generic)
      412    0.000    0.000    0.148    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/codegen.py:719(add_linking_library)
     1056    0.009    0.000    0.148    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/cpu.py:60(load_additional_registries)
      642    0.002    0.000    0.147    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/axes/_base.py:2300(add_line)
   577818    0.147    0.000    0.147    0.000 /Users/lilli/Desktop/ISSI_code/plot/linetracer/fieldline3D.py:101(gtr)
       69    0.001    0.000    0.146    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/untyped_passes.py:212(run_pass)
     2486    0.010    0.000    0.143    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/typing/npydecl.py:97(generic)
     1708    0.142    0.000    0.142    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/proj3d.py:173(_proj_transform_vec)
    52018    0.025    0.000    0.140    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/llvmlite/ir/_utils.py:16(register)
       14    0.000    0.000    0.140    0.010 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/cpython/numbers.py:206(int_power_impl)
        1    0.000    0.000    0.139    0.139 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:2225(array_ravel)
497058/496137    0.067    0.000    0.134    0.000 {built-in method builtins.getattr}
       69    0.001    0.000    0.133    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/compiler.py:413(__init__)
      641    0.002    0.000    0.129    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/mpl_toolkits/mplot3d/axes3d.py:609(auto_scale_xyz)
       69    0.000    0.000    0.129    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ssa.py:26(reconstruct_ssa)
       69    0.001    0.000    0.129    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/ssa.py:47(_run_ssa)
31875/28322    0.009    0.000    0.128    0.000 /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
       53    0.001    0.000    0.126    0.002 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:4156(_empty_nd_impl)
     5517    0.012    0.000    0.126    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/path.py:99(__init__)
        3    0.000    0.000    0.121    0.040 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/pyplot.py:777(figure)
        3    0.000    0.000    0.121    0.040 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/matplotlib/pyplot.py:462(new_figure_manager)
     7150    0.003    0.000    0.120    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/targetconfig.py:196(values)
      208    0.001    0.000    0.119    0.001 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/np/arrayobj.py:479(getitem_arraynd_intp)
     7150    0.021    0.000    0.117    0.000 /Users/lilli/Desktop/ISSI_code/.venv/lib/python3.11/site-packages/numba/core/targetconfig.py:199(<dictcomp>)
